Time,Sequence Number,Event
0.9440000000000007,118001,transmit
0.9460000000000007,118001,ack
0.9460000000000007,217001,send
0.9520000000000007,119001,transmit
0.9540000000000007,119001,ack
0.9540000000000007,218001,send
0.9600000000000007,120001,transmit
0.9620000000000007,120001,ack
0.9620000000000007,219001,send
0.9680000000000007,121001,transmit
0.9700000000000008,121001,ack
0.9700000000000008,220001,send
0.9760000000000008,122001,transmit
0.9780000000000008,122001,ack
0.9780000000000008,221001,send
0.9840000000000008,123001,transmit
0.9860000000000008,123001,ack
0.9860000000000008,222001,send
0.9920000000000008,124001,transmit
0.9940000000000008,124001,ack
0.9940000000000008,223001,send
1.0,124001,send
1.0000000000000007,125001,transmit
1.0020000000000007,125001,ack
1.0020000000000007,125001,send
1.0020000000000007,126001,send
1.0080000000000007,126001,transmit
1.0100000000000005,126001,ack
1.0100000000000005,127001,send
1.0100000000000005,128001,send
1.0160000000000007,127001,transmit
1.0180000000000005,127001,ack
1.0180000000000005,129001,send
1.0180000000000005,130001,send
1.0240000000000007,128001,transmit
1.0260000000000005,128001,ack
1.0260000000000005,131001,send
1.0260000000000005,132001,send
1.0320000000000007,129001,transmit
1.0340000000000005,129001,ack
1.0340000000000005,133001,send
1.0340000000000005,134001,send
1.0400000000000007,130001,transmit
1.0420000000000005,130001,ack
1.0420000000000005,135001,send
1.0420000000000005,136001,send
1.0480000000000007,131001,transmit
1.0500000000000005,131001,ack
1.0500000000000005,137001,send
1.0500000000000005,138001,send
1.0560000000000007,132001,transmit
1.0580000000000005,132001,ack
1.0580000000000005,139001,send
1.0580000000000005,140001,send
1.0640000000000007,133001,transmit
1.0660000000000005,133001,ack
1.0660000000000005,141001,send
1.0660000000000005,142001,send
1.0720000000000007,134001,transmit
1.0740000000000005,134001,ack
1.0740000000000005,143001,send
1.0740000000000005,144001,send
1.0800000000000007,135001,transmit
1.0820000000000005,135001,ack
1.0820000000000005,145001,send
1.0820000000000005,146001,send
1.0880000000000007,136001,transmit
1.0900000000000005,136001,ack
1.0900000000000005,147001,send
1.0900000000000005,148001,send
1.0960000000000008,137001,transmit
1.0980000000000005,137001,ack
1.0980000000000005,149001,send
1.0980000000000005,150001,send
1.1040000000000008,138001,transmit
1.1060000000000005,138001,ack
1.1060000000000005,151001,send
1.1060000000000005,152001,send
1.1120000000000008,139001,transmit
1.1140000000000005,139001,ack
1.1140000000000005,153001,send
1.1140000000000005,154001,send
1.1200000000000008,140001,transmit
1.1220000000000006,140001,ack
1.1220000000000006,155001,send
1.1220000000000006,156001,send
1.1280000000000008,141001,transmit
1.1300000000000006,141001,ack
1.1300000000000006,157001,send
1.1300000000000006,158001,send
1.1360000000000008,142001,transmit
1.1380000000000006,142001,ack
1.1380000000000006,159001,send
1.1380000000000006,160001,send
1.1440000000000008,143001,transmit
1.1460000000000006,143001,ack
1.1460000000000006,161001,send
1.1460000000000006,162001,send
1.1520000000000008,144001,transmit
1.1540000000000006,144001,ack
1.1540000000000006,163001,send
1.1540000000000006,164001,send
1.1600000000000008,145001,transmit
1.1620000000000006,145001,ack
1.1620000000000006,165001,send
1.1620000000000006,166001,send
1.1680000000000008,146001,transmit
1.1700000000000006,146001,ack
1.1700000000000006,167001,send
1.1700000000000006,168001,send
1.1760000000000008,147001,transmit
1.1780000000000006,147001,ack
1.1780000000000006,169001,send
1.1780000000000006,170001,send
1.1840000000000008,148001,transmit
1.1860000000000006,148001,ack
1.1860000000000006,171001,send
1.1860000000000006,172001,send
1.1920000000000008,149001,transmit
1.1940000000000006,149001,ack
1.1940000000000006,173001,send
1.1940000000000006,174001,send
1.2000000000000008,150001,transmit
1.2020000000000006,150001,ack
1.2020000000000006,175001,send
1.2020000000000006,176001,send
1.2080000000000009,151001,transmit
1.2100000000000006,151001,ack
1.2100000000000006,177001,send
1.2100000000000006,178001,send
1.2160000000000009,152001,transmit
1.2180000000000006,152001,ack
1.2180000000000006,179001,send
1.2180000000000006,180001,send
1.2240000000000009,153001,transmit
1.2260000000000006,153001,ack
1.2260000000000006,181001,send
1.2260000000000006,182001,send
1.2320000000000009,154001,transmit
1.2340000000000007,154001,ack
1.2340000000000007,183001,send
1.2340000000000007,184001,send
1.2400000000000009,155001,transmit
1.2420000000000007,155001,ack
1.2420000000000007,185001,send
1.2420000000000007,186001,send
1.2480000000000009,156001,transmit
1.2500000000000007,156001,ack
1.2500000000000007,187001,send
1.2500000000000007,188001,send
1.256000000000001,157001,transmit
1.2580000000000007,157001,ack
1.2580000000000007,189001,send
1.2580000000000007,190001,send
1.264000000000001,158001,transmit
1.2660000000000007,158001,ack
1.2660000000000007,191001,send
1.2660000000000007,192001,send
1.272000000000001,159001,transmit
1.2740000000000007,159001,ack
1.2740000000000007,193001,send
1.2740000000000007,194001,send
1.280000000000001,160001,transmit
1.2820000000000007,160001,ack
1.2820000000000007,195001,send
1.2820000000000007,196001,send
1.288000000000001,161001,transmit
1.2900000000000007,161001,ack
1.2900000000000007,197001,send
1.2900000000000007,198001,send
1.296000000000001,162001,transmit
1.2980000000000007,162001,ack
1.2980000000000007,199001,send
1.2980000000000007,200001,send
1.304000000000001,163001,transmit
1.3060000000000007,163001,ack
1.3060000000000007,201001,send
1.3060000000000007,202001,send
1.312000000000001,164001,transmit
1.3140000000000007,164001,ack
1.3140000000000007,203001,send
1.3140000000000007,204001,send
1.320000000000001,165001,transmit
1.3220000000000007,165001,ack
1.3220000000000007,205001,send
1.3220000000000007,206001,send
1.328000000000001,166001,transmit
1.3300000000000007,166001,ack
1.3300000000000007,207001,send
1.3300000000000007,208001,send
1.336000000000001,167001,transmit
1.3380000000000007,167001,ack
1.3380000000000007,209001,send
1.3380000000000007,210001,send
1.344000000000001,168001,transmit
1.3460000000000008,168001,ack
1.3460000000000008,211001,send
1.3460000000000008,212001,send
1.352000000000001,169001,transmit
1.3540000000000008,169001,ack
1.3540000000000008,213001,send
1.3540000000000008,214001,send
1.360000000000001,170001,transmit
1.3620000000000008,170001,ack
1.3620000000000008,215001,send
1.3620000000000008,216001,send
1.368000000000001,171001,transmit
1.3700000000000008,171001,ack
1.3700000000000008,217001,send
1.3700000000000008,218001,send
1.376000000000001,172001,transmit
1.3780000000000008,172001,ack
1.3780000000000008,219001,send
1.3780000000000008,220001,send
1.384000000000001,173001,transmit
1.3860000000000008,173001,ack
1.3860000000000008,221001,send
1.3860000000000008,222001,send
1.392000000000001,174001,transmit
1.3940000000000008,174001,ack
1.3940000000000008,223001,send
1.400000000000001,175001,transmit
1.4020000000000008,175001,ack
1.4020000000000008,224001,send
1.408000000000001,176001,transmit
1.4100000000000008,176001,ack
1.4100000000000008,225001,send
1.416000000000001,177001,transmit
1.4180000000000008,177001,ack
1.4180000000000008,226001,send
1.424000000000001,178001,transmit
1.4260000000000008,178001,ack
1.4260000000000008,227001,send
1.432000000000001,179001,transmit
1.4340000000000008,179001,ack
1.4340000000000008,228001,send
1.440000000000001,180001,transmit
1.4420000000000008,180001,ack
1.4420000000000008,229001,send
1.448000000000001,181001,transmit
1.4500000000000008,181001,ack
1.4500000000000008,230001,send
1.456000000000001,182001,transmit
1.4580000000000009,182001,ack
1.4580000000000009,231001,send
1.464000000000001,183001,transmit
1.4660000000000009,183001,ack
1.4660000000000009,232001,send
1.472000000000001,184001,transmit
1.4740000000000009,184001,ack
1.4740000000000009,233001,send
1.480000000000001,185001,transmit
1.4820000000000009,185001,ack
1.4820000000000009,234001,send
1.488000000000001,186001,transmit
1.4900000000000009,186001,ack
1.4900000000000009,235001,send
1.496000000000001,187001,transmit
1.4980000000000009,187001,ack
1.4980000000000009,236001,send
1.5040000000000011,188001,transmit
1.506000000000001,188001,ack
1.506000000000001,237001,send
1.5120000000000011,189001,transmit
1.514000000000001,189001,ack
1.514000000000001,238001,send
1.5200000000000011,190001,transmit
1.522000000000001,190001,ack
1.522000000000001,239001,send
1.5280000000000011,191001,transmit
1.530000000000001,191001,ack
1.530000000000001,240001,send
1.5360000000000011,192001,transmit
1.538000000000001,192001,ack
1.538000000000001,241001,send
1.5440000000000011,193001,transmit
1.546000000000001,193001,ack
1.546000000000001,242001,send
1.5520000000000012,194001,transmit
1.554000000000001,194001,ack
1.554000000000001,243001,send
1.5600000000000012,195001,transmit
1.562000000000001,195001,ack
1.562000000000001,244001,send
1.5680000000000012,196001,transmit
1.570000000000001,196001,ack
1.570000000000001,245001,send
1.5760000000000012,197001,transmit
1.578000000000001,197001,ack
1.578000000000001,246001,send
1.5840000000000012,198001,transmit
1.586000000000001,198001,ack
1.586000000000001,247001,send
1.5920000000000012,199001,transmit
1.594000000000001,199001,ack
1.594000000000001,248001,send
1.6000000000000012,200001,transmit
1.602000000000001,200001,ack
1.602000000000001,249001,send
1.6080000000000012,201001,transmit
1.610000000000001,201001,ack
1.610000000000001,250001,send
1.6160000000000012,202001,transmit
1.618000000000001,202001,ack
1.618000000000001,251001,send
1.6240000000000012,203001,transmit
1.626000000000001,203001,ack
1.626000000000001,252001,send
1.6320000000000012,204001,transmit
1.634000000000001,204001,ack
1.634000000000001,253001,send
1.6400000000000012,205001,transmit
1.642000000000001,205001,ack
1.642000000000001,254001,send
1.6480000000000012,206001,transmit
1.650000000000001,206001,ack
1.650000000000001,255001,send
1.6560000000000012,207001,transmit
1.658000000000001,207001,ack
1.658000000000001,256001,send
1.6640000000000013,208001,transmit
1.666000000000001,208001,ack
1.666000000000001,257001,send
1.6720000000000013,209001,transmit
1.674000000000001,209001,ack
1.674000000000001,258001,send
1.6800000000000013,210001,transmit
1.682000000000001,210001,ack
1.682000000000001,259001,send
1.6880000000000013,211001,transmit
1.690000000000001,211001,ack
1.690000000000001,260001,send
1.6960000000000013,212001,transmit
1.698000000000001,212001,ack
1.698000000000001,261001,send
1.7040000000000013,213001,transmit
1.706000000000001,213001,ack
1.706000000000001,262001,send
1.7120000000000013,214001,transmit
1.714000000000001,214001,ack
1.714000000000001,263001,send
1.7200000000000013,215001,transmit
1.722000000000001,215001,ack
1.722000000000001,264001,send
1.7280000000000013,216001,transmit
1.730000000000001,216001,ack
1.730000000000001,265001,send
1.7360000000000013,217001,transmit
1.738000000000001,217001,ack
1.738000000000001,266001,send
1.7440000000000013,218001,transmit
1.746000000000001,218001,ack
1.746000000000001,267001,send
1.7520000000000013,219001,transmit
1.7540000000000011,219001,ack
1.7540000000000011,268001,send
1.7600000000000013,220001,transmit
1.7620000000000011,220001,ack
1.7620000000000011,269001,send
1.7680000000000013,221001,transmit
1.7700000000000011,221001,ack
1.7700000000000011,270001,send
1.7760000000000014,222001,transmit
1.7780000000000011,222001,ack
1.7780000000000011,271001,send
1.7840000000000014,223001,transmit
1.7860000000000011,223001,ack
1.7860000000000011,272001,send
1.7920000000000014,124001,transmit
1.7940000000000011,224001,ack
1.7940000000000011,273001,send
1.8000000000000014,125001,transmit
1.8020000000000012,224001,ack
1.8080000000000014,126001,transmit
1.8100000000000012,224001,ack
1.8160000000000014,127001,transmit
1.8180000000000012,224001,ack
1.8180000000000012,224001,send
1.8240000000000014,128001,transmit
1.8260000000000012,224001,ack
1.8320000000000014,129001,transmit
1.8340000000000012,224001,ack
1.8400000000000014,130001,transmit
1.8420000000000012,224001,ack
1.8480000000000014,131001,transmit
1.8500000000000012,224001,ack
1.8560000000000014,132001,transmit
1.8580000000000012,224001,ack
1.8640000000000014,133001,transmit
1.8660000000000012,224001,ack
1.8720000000000014,134001,transmit
1.8740000000000012,224001,ack
1.8800000000000014,135001,transmit
1.8820000000000012,224001,ack
1.8880000000000015,136001,transmit
1.8900000000000012,224001,ack
1.8960000000000015,137001,transmit
1.8980000000000012,224001,ack
1.9040000000000015,138001,transmit
1.9060000000000012,224001,ack
1.9120000000000015,139001,transmit
1.9140000000000013,224001,ack
1.9200000000000015,140001,transmit
1.9220000000000013,224001,ack
1.9280000000000015,141001,transmit
1.9300000000000013,224001,ack
1.9360000000000015,142001,transmit
1.9380000000000013,224001,ack
1.9440000000000015,143001,transmit
1.9460000000000013,224001,ack
1.9520000000000015,144001,transmit
1.9540000000000013,224001,ack
1.9600000000000015,145001,transmit
1.9620000000000013,224001,ack
1.9680000000000015,146001,transmit
1.9700000000000013,224001,ack
1.9760000000000015,147001,transmit
1.9780000000000013,224001,ack
1.9840000000000015,148001,transmit
1.9860000000000013,224001,ack
1.9920000000000015,149001,transmit
1.9940000000000013,224001,ack
